"Species"	"SumOfkm2"
"Ambrosia trifida"	4028139.99
"Amelanchier alnifolia"	2630040.42
"Amelanchier amabilis"	29742.56
"Amelanchier arborea"	2282910.34
"Amelanchier bartramiana"	288574.18
"Amelanchier canadensis"	636020.99
"Amelanchier cusickii"	495961.42
"Amelanchier gaspensis"	31726.36
"Amelanchier humilis"	194271.24
"Amelanchier interior"	239152.70
"Amelanchier intermedia"	237894.43
"Amelanchier laevis"	1056129.23
"Amelanchier nantucketensis"	70152.61
"Amelanchier sanguinea"	789260.36
"Amelanchier spicata"	876501.44
"Amelanchier utahensis"	1775030.06
"Amianthium muscitoxicum"	712396.53
"Ammannia auriculata"	406677.57
"Ammannia coccinea"	2393191.21
"Ammannia latifolia"	183003.11
"Ammannia robusta"	1145253.95
"Ammophila breviligulata"	272687.75
"Ammoselinum butleri"	287537.10
"Ammoselinum popei"	699252.92
"Amoreuxia gonzalezii"	26895.00
"Amoreuxia palmatifida"	85884.57
"Amoreuxia wrightii"	55681.68
"Amorpha californica"	469891.22
"Amorpha canescens"	1896487.84
"Amorpha confusa"	12517.82
"Amorpha fruticosa"	3884574.91
"Amorpha georgiana"	36527.14
"Amorpha glabra"	83761.97
"Amorpha herbacea"	250634.01
"Amorpha laevigata"	49387.88
"Amorpha nana"	489918.84
"Amorpha nitens"	129843.98
"Amorpha ouachitensis"	32927.74
"Amorpha paniculata"	102072.49
"Amorpha roemeriana"	38593.66
"Amorpha schwerinii"	24280.13
"Ampelaster carolinianus"	136831.98
"Ampelopsis arborea"	1271855.28
"Ampelopsis cordata"	1323134.87
"Amphiachyris amoena"	84506.76
"Amphiachyris dracunculoides"	959996.85
"Amphicarpaea bracteata"	2953291.98
"Amphicarpum amphicarpon"	76647.86
"Amphicarpum muehlenbergianum"	195281.95
"Amphipappus fremontii"	258133.65
"Amphitecna latifolia"	5112.39
"Amsinckia carinata"	25714.72
"Amsinckia douglasiana"	150624.09
"Amsinckia eastwoodiae"	168148.39
"Amsinckia grandiflora"	7393.48
"Amsinckia intermedia"	1522994.54
"Amsinckia lunaris"	44984.82
"Amsinckia lycopsoides"	732943.08
"Amsinckia menziesii"	1246940.72
"Amsinckia spectabilis"	113621.44
"Amsinckia tessellata"	1285186.15
"Amsinckia vernicosa"	178218.26
"Amsonia ciliata"	600699.94
"Amsonia eastwoodiana"	310329.16
"Amsonia fugatei"	28969.88
"Amsonia grandiflora"	26895.00
"Amsonia hubrichtii"	48898.30
"Amsonia jonesii"	223563.37
"Amsonia kearneyana"	23722.94
"Amsonia longiflora"	260829.34
"Amsonia ludoviciana"	36205.56
"Amsonia palmeri"	304017.70
"Amsonia peeblesii"	103206.08
"Amsonia repens"	107696.18
"Amsonia rigida"	126700.71
"Amsonia tabernaemontana"	1202489.86
"Amsonia tharpii"	23294.36
"Amsonia tomentosa"	277420.75
"Amyris balsamifera"	7629.71
"Amyris elemifera"	27082.10
"Amyris madrensis"	11441.82
"Amyris texana"	34986.70
"Anaphalis margaritacea"	2905500.29
"Ancistrocactus brevihamatus"	34189.16
"Ancistrocactus scheeri"	69969.03
"Ancistrocarphus filagineus"	463025.86
"Ancistrocarphus keilii"	6920.71
"Andira inermis"	5112.39
"Andromeda polifolia"	704151.21
"Andropogon arctatus"	61954.15
"Andropogon bicornis"	7629.71
"Andropogon brachystachyus"	120983.53
"Andropogon capillipes"	283295.03
"Andropogon floridanus"	106958.36
"Andropogon gerardi"	4670446.65
"Andropogon glaucopsis"	263401.84
"Andropogon glomeratus"	2007909.56
"Andropogon gracilis"	15951.68
"Andropogon gyrans"	991973.50
"Andropogon hallii"	1564949.13
"Andropogon hirsutior"	182488.58
"Andropogon longiberbis"	134191.25
"Andropogon mohrii"	111459.28
"Andropogon ternarius"	1336705.92
"Andropogon tracyi"	121509.38
"Andropogon virginicus"	2318261.80
"Androsace chamaejasme"	315486.80
"Androsace elongata"	251475.34
"Androsace filiformis"	552928.09
"Androsace occidentalis"	2347568.27
"Androsace septentrionalis"	1957915.56
"Androstephium breviflorum"	687655.03
"Androstephium caeruleum"	294909.14
"Anelsonia eurycarpa"	142317.44
"Anemia adiantifolia"	31810.05
"Anemia mexicana"	64735.59
"Anemia wrightii"	5112.39
"Anemone berlandieri"	724455.03
"Anemone canadensis"	1863434.86
"Anemone caroliniana"	1009096.71
"Anemone cylindrica"	1995419.10
"Anemone deltoidea"	193729.07
"Anemone drummondii"	385968.88
"Anemone edwardsiana"	90666.11
"Anemone lancifolia"	173301.00
"Anemone lithophila"	213406.94
"Anemone lyallii"	203359.13
"Anemone multifida"	1561377.56
"Anemone narcissiflora"	77260.55
"Anemone oregana"	373688.88
"Anemone parviflora"	336768.30
"Anemone piperi"	278185.68
"Anemone quinquefolia"	1545158.71
"Anemone tuberosa"	761200.95
"Anemone virginiana"	2518542.95
"Anemopsis californica"	1048022.13
"Angadenia berteroi"	7629.71
"Angelica ampla"	156737.07
"Angelica arguta"	920022.37
"Angelica atropurpurea"	669850.32
"Angelica breweri"	188205.63
"Angelica californica"	75481.98
"Angelica callii"	49252.71
"Angelica canbyi"	135692.50
"Angelica dawsonii"	75590.44
"Angelica dentata"	30243.69
"Angelica genuflexa"	237448.32
"Angelica grayi"	296383.94
"Angelica hendersonii"	75267.37
"Angelica kingii"	311537.17
"Angelica lineariloba"	102525.12
"Angelica lucida"	129656.94
"Angelica pinnata"	739876.71
"Angelica roseana"	316481.65
"Angelica scabrida"	20897.89
"Angelica tomentosa"	117202.51
"Angelica triquinata"	124728.41
"Angelica venenosa"	1051632.61
"Angelica wheeleri"	47427.17
"Anisacanthus linearis"	15910.30
"Anisacanthus puberulus"	25748.78
"Anisacanthus quadrifidus"	46668.89
"Anisacanthus thurberi"	275480.33
"Anisocarpus madioides"	217537.58
"Anisocarpus scabridus"	41374.36
"Anisocoma acaulis"	445054.07
"Annona glabra"	41591.64
"Anoda abutiloides"	26895.00
"Anoda crenatiflora"	34841.18
"Anoda cristata"	560291.65
"Anoda lanceolata"	39818.66
"Anoda pentaschista"	174280.87
"Anoda reticulata"	26895.00
"Anoda thurberi"	15924.34
"Anredera vesicaria"	40736.33
"Antennaria alpina"	164239.91
"Antennaria anaphaloides"	986205.10
"Antennaria arcuata"	88286.63
"Antennaria argentea"	287629.12
"Antennaria aromatica"	235334.15
"Antennaria corymbosa"	999101.44
"Antennaria densifolia"	6425.17
"Antennaria dimorpha"	1853102.29
"Antennaria flagellaris"	364341.22
"Antennaria geyeri"	239348.75
"Antennaria howellii"	1824683.39
"Antennaria lanata"	491895.98
"Antennaria luzuloides"	888363.63
"Antennaria marginata"	787646.89
"Antennaria media"	1536262.74
"Antennaria microphylla"	1875917.00
"Antennaria monocephala"	140132.71
"Antennaria neglecta"	2257533.31
"Antennaria parlinii"	2088119.36
"Antennaria parvifolia"	2177738.69
"Antennaria plantaginifolia"	1528658.05
"Antennaria pulchella"	91932.00
"Antennaria pulcherrima"	409547.68
"Antennaria racemosa"	744124.18
"Antennaria rosea"	2589344.25
"Antennaria rosulata"	429769.47
"Antennaria soliceps"	20897.89
"Antennaria solitaria"	450349.97
"Antennaria stenophylla"	388145.84
"Antennaria suffrutescens"	20161.40
"Antennaria umbrinella"	1525972.26
"Antennaria virginica"	72453.15
"Anthenantia rufa"	356551.50
"Anthenantia villosa"	429239.46
"Anthoxanthum hirtum"	2081090.23
"Anthoxanthum monticola"	48646.03
"Anthoxanthum occidentale"	128640.91
"Anticlea elegans"	2427894.08
"Anticlea mogollonensis"	17974.27
"Anticlea occidentalis"	363682.66
"Anticlea vaginata"	174139.55
"Anticlea virescens"	239349.41
"Antiphytum floribundum"	40530.85
"Antiphytum heliotropioides"	24265.22
"Anulocaulis annulatus"	99735.83
"Anulocaulis eriosolenus"	25748.78
"Anulocaulis leiosolenus"	237460.62
"Anulocaulis reflexus"	15758.81
"Apacheria chiricahuensis"	62907.00
"Aphanisma blitoides"	35108.16
"Aphanostephus pilosus"	61492.49
"Aphanostephus ramosissimus"	748706.41
"Aphanostephus riddellii"	469920.51
"Aphanostephus skirrhobasis"	773184.29
"Apiastrum angustifolium"	313436.44
"Apios americana"	2959331.52
"Apios priceana"	61430.40
"Aplectrum hyemale"	907078.20
"Apocynum androsaemifolium"	4296768.17
"Apocynum cannabinum"	6619339.39
"Apodanthera undulata"	297559.57
"Apteria aphylla"	221511.40
"Aquilegia barnebyi"	51249.91
"Aquilegia brevistyla"	70615.39
"Aquilegia caerulea"	1113838.49
"Aquilegia canadensis"	2453614.59
"Aquilegia chrysantha"	559431.48
"Aquilegia desertorum"	403167.03
"Aquilegia desolaticola"	9559.20
"Aquilegia elegantula"	539145.84
"Aquilegia eximia"	101352.20
"Aquilegia flavescens"	637003.08
"Aquilegia formosa"	1416911.13
"Aquilegia fosteri"	17893.41
"Aquilegia holmgrenii"	13514.01
"Aquilegia jonesii"	182460.74
"Aquilegia laramiensis"	22191.83
